dtype,num_blocks,tokens_per_block,num_permutations,err_sequential,err_balanced_tree,err_permuted_max,err_permuted_median,err_permuted_p95,err_random_tree_median,ladder_final_max,ladder_tail_rel_growth,balanced_better_than_seq,max_err_all
float32,2,64,200,2.7190705509383406e-07,2.7190705509383406e-07,2.7190705509383406e-07,2.7190705509383406e-07,2.7190705509383406e-07,2.7190705509383406e-07,2.7190705509383406e-07,0.0,True,2.7190705509383406e-07
float32,4,64,200,3.067704312798014e-07,3.0658043215225916e-07,3.121952545370732e-07,3.060271467347775e-07,3.121952545370732e-07,2.973995094635029e-07,3.121952545370732e-07,0.0,True,3.121952545370732e-07
float32,8,64,200,2.948328301499714e-07,3.116366258382186e-07,3.593983137761825e-07,3.042277683107386e-07,3.4298440425573063e-07,2.9203042117842415e-07,3.6377261380948767e-07,0.010914208730529763,False,3.593983137761825e-07
float32,16,64,200,6.126287530605623e-07,6.359516646625707e-07,7.139755666685232e-07,6.108656407377566e-07,6.77033432339158e-07,6.051405421203526e-07,7.463693805220828e-07,0.01082873324583775,False,7.139755666685232e-07
float32,32,64,200,1.6521049417406175e-07,1.542264271847671e-07,4.354593841071619e-07,1.9909445114763002e-07,3.183164125175608e-07,1.6578706407699428e-07,4.3708419639187923e-07,0.003731260236930587,True,4.354593841071619e-07
float32,64,64,200,3.75841977984237e-07,6.16707779954595e-07,7.703030746597506e-07,5.100459645746014e-07,6.712970872513323e-07,6.125024185621442e-07,7.918581559351878e-07,0.025734980368542573,False,7.703030746597506e-07
float64,2,64,200,6.403573269425388e-16,6.403573269425388e-16,6.403573269425388e-16,6.403573269425388e-16,6.403573269425388e-16,6.403573269425388e-16,6.403573269425388e-16,0.0,True,6.403573269425388e-16
float64,4,64,200,8.124288635945712e-16,8.320902083572002e-16,8.655143896036753e-16,8.137257108314823e-16,8.655143896036753e-16,8.320902083572002e-16,8.655143896036753e-16,0.0,False,8.655143896036753e-16
float64,8,64,200,5.4989340240052e-16,4.776092232751233e-16,7.38376953870476e-16,4.899043593190928e-16,6.740118701906579e-16,4.682580210291952e-16,7.819755235905666e-16,0.04919225092399036,True,7.38376953870476e-16
float64,16,64,200,5.21777433129729e-16,3.8705879937111076e-16,6.085713415051928e-16,4.195208028185466e-16,5.071058143501604e-16,4.095236442146377e-16,6.521425019851237e-16,0.0,True,6.085713415051928e-16
float64,32,64,200,3.1964761869108246e-16,2.396703313496683e-16,4.84135705472715e-16,3.3079727297849252e-16,4.135190386764214e-16,2.7537024245595783e-16,5.26870898170279e-16,0.06725934346204165,True,4.84135705472715e-16
float64,64,64,200,4.884097466074088e-16,4.961439448160512e-16,8.976526693112765e-16,5.45098678908658e-16,6.728121876971456e-16,4.821199121626633e-16,8.976526693112765e-16,0.0,False,8.976526693112765e-16
