dtype,num_blocks,num_permutations,cumulative_max_rel_err
float32,2,1,2.7190705509383406e-07
float32,2,2,2.7190705509383406e-07
float32,2,5,2.7190705509383406e-07
float32,2,10,2.7190705509383406e-07
float32,2,25,2.7190705509383406e-07
float32,2,50,2.7190705509383406e-07
float32,2,100,2.7190705509383406e-07
float32,2,200,2.7190705509383406e-07
float32,2,500,2.7190705509383406e-07
float32,2,1000,2.7190705509383406e-07
float32,4,1,3.060271467347775e-07
float32,4,2,3.0608768497586425e-07
float32,4,5,3.121952545370732e-07
float32,4,10,3.121952545370732e-07
float32,4,25,3.121952545370732e-07
float32,4,50,3.121952545370732e-07
float32,4,100,3.121952545370732e-07
float32,4,200,3.121952545370732e-07
float32,4,500,3.121952545370732e-07
float32,4,1000,3.121952545370732e-07
float32,8,1,2.8227438519934367e-07
float32,8,2,3.15360296099243e-07
float32,8,5,3.15360296099243e-07
float32,8,10,3.1742288797431684e-07
float32,8,25,3.4510995305936376e-07
float32,8,50,3.4510995305936376e-07
float32,8,100,3.593983137761825e-07
float32,8,200,3.593983137761825e-07
float32,8,500,3.598451883135567e-07
float32,8,1000,3.6377261380948767e-07
float32,16,1,5.910454206059512e-07
float32,16,2,5.910454206059512e-07
float32,16,5,6.085547283873893e-07
float32,16,10,6.5206177168875e-07
float32,16,25,6.570766686309071e-07
float32,16,50,6.857960670458851e-07
float32,16,100,7.129704044928076e-07
float32,16,200,7.139755666685232e-07
float32,16,500,7.383737283817027e-07
float32,16,1000,7.463693805220828e-07
float32,32,1,1.5013708321021113e-07
float32,32,2,1.641379441252866e-07
float32,32,5,1.982423043500603e-07
float32,32,10,4.354593841071619e-07
float32,32,25,4.354593841071619e-07
float32,32,50,4.354593841071619e-07
float32,32,100,4.354593841071619e-07
float32,32,200,4.354593841071619e-07
float32,32,500,4.354593841071619e-07
float32,32,1000,4.3708419639187923e-07
float32,64,1,5.602462351816939e-07
float32,64,2,5.602462351816939e-07
float32,64,5,5.602462351816939e-07
float32,64,10,6.194330808284576e-07
float32,64,25,7.703030746597506e-07
float32,64,50,7.703030746597506e-07
float32,64,100,7.703030746597506e-07
float32,64,200,7.703030746597506e-07
float32,64,500,7.719909831394034e-07
float32,64,1000,7.918581559351878e-07
float64,2,1,6.403573269425388e-16
float64,2,2,6.403573269425388e-16
float64,2,5,6.403573269425388e-16
float64,2,10,6.403573269425388e-16
float64,2,25,6.403573269425388e-16
float64,2,50,6.403573269425388e-16
float64,2,100,6.403573269425388e-16
float64,2,200,6.403573269425388e-16
float64,2,500,6.403573269425388e-16
float64,2,1000,6.403573269425388e-16
float64,4,1,8.055255173384235e-16
float64,4,2,8.561029667677659e-16
float64,4,5,8.561029667677659e-16
float64,4,10,8.561029667677659e-16
float64,4,25,8.655143896036753e-16
float64,4,50,8.655143896036753e-16
float64,4,100,8.655143896036753e-16
float64,4,200,8.655143896036753e-16
float64,4,500,8.655143896036753e-16
float64,4,1000,8.655143896036753e-16
float64,8,1,3.480772056291262e-16
float64,8,2,5.92810982263156e-16
float64,8,5,5.92810982263156e-16
float64,8,10,7.072098052207485e-16
float64,8,25,7.072098052207485e-16
float64,8,50,7.289198438220794e-16
float64,8,100,7.38376953870476e-16
float64,8,200,7.38376953870476e-16
float64,8,500,7.453119510765597e-16
float64,8,1000,7.819755235905666e-16
float64,16,1,4.953210623321053e-16
float64,16,2,5.00847065039817e-16
float64,16,5,5.00847065039817e-16
float64,16,10,5.00847065039817e-16
float64,16,25,5.00847065039817e-16
float64,16,50,5.014098548584205e-16
float64,16,100,5.95619541473834e-16
float64,16,200,6.085713415051928e-16
float64,16,500,6.521425019851237e-16
float64,16,1000,6.521425019851237e-16
float64,32,1,3.5104986800913027e-16
float64,32,2,3.5104986800913027e-16
float64,32,5,4.520011677765902e-16
float64,32,10,4.520011677765902e-16
float64,32,25,4.520011677765902e-16
float64,32,50,4.84135705472715e-16
float64,32,100,4.84135705472715e-16
float64,32,200,4.84135705472715e-16
float64,32,500,4.936671685264265e-16
float64,32,1000,5.26870898170279e-16
float64,64,1,4.87824022641771e-16
float64,64,2,5.312378230955099e-16
float64,64,5,6.995207679648705e-16
float64,64,10,6.995207679648705e-16
float64,64,25,6.995207679648705e-16
float64,64,50,7.184680039396886e-16
float64,64,100,7.276267391971319e-16
float64,64,200,8.976526693112765e-16
float64,64,500,8.976526693112765e-16
float64,64,1000,8.976526693112765e-16
