spec,family,seed,dest,M,budget,L_s,eval_out_err_median,eval_abs_mass_median,eval_mixture_median,fit_abs_mass_median,beta_mean,beta_std,beta_min,beta_max,n_beta_le_m3,n_beta_le_m7,n_beta_at_clamp,frac_beta_le_m3,clamp_rate,support_size,rank_G_numeric,rank_upper_bound,cond_G,solver_residual,x_eff_budget,x_eff_budget_frac,x_eff_loss,x_col_mean_ratio,v_fit_resid_rel,beta_ideal_mass_preserving
unbound,基准,42,0,8,8,256,0.719307005405426,0.5560253262519836,0.6886907815933228,0.24753935635089874,-2.4020304679870605,7.05698299407959,-13.815510749816895,2.0277726650238037,2,2,2,0.25,0.25,6,8,8,57.64194240407075,5.974092483520508,5.38475227355957,0.6730940341949463,0.3269059658050537,1.0188197424509961e-07,0.30770956207598105,3.4657359027997265
box33,约束族,42,0,8,8,256,0.7196710109710693,0.5500155687332153,0.6886014342308044,0.24371331930160522,0.30156928300857544,2.078883647918701,-3.0,2.0140836238861084,2,0,0,0.25,0.0,6,8,8,57.64194240407075,6.03768253326416,5.48640251159668,0.685800313949585,0.31419968605041504,0.005140042908374175,0.30708714962229394,3.4657359027997265
box77,约束族,42,0,8,8,256,0.7192972898483276,0.5558872818946838,0.6886855363845825,0.24754975736141205,-0.6981577277183533,3.9120349884033203,-7.0,2.0275235176086426,2,2,0,0.25,0.0,6,8,8,57.64194240407075,5.975253105163574,5.387674331665039,0.6734592914581299,0.3265407085418701,9.292674828740942e-05,0.30771306542262833,3.4657359027997265
box33_lam1em2,约束族,42,0,8,8,256,0.7197182178497314,0.5517225861549377,0.6882007122039795,0.24202530086040497,0.30424320697784424,2.0777485370635986,-3.0,2.000396728515625,2,0,0,0.25,0.0,6,8,8,57.64194240407075,6.045351028442383,5.507689952850342,0.6884612441062927,0.3115387558937073,0.005221160075533432,0.3070205628350243,3.4657359027997265
noridge,正则族,42,0,8,8,256,0.7193050980567932,0.5571004748344421,0.6887355446815491,0.24741603434085846,-2.4024081230163574,7.056855201721191,-13.815510749816895,2.0293543338775635,2,2,2,0.25,0.25,6,8,8,57.64194240407075,5.974006652832031,5.382044315338135,0.6727555394172668,0.32724446058273315,1.0169630225615593e-07,0.3077168007789874,3.4657359027997265
lam1em4,正则族,42,0,8,8,256,0.7193052768707275,0.5569921731948853,0.6887310743331909,0.24742834270000458,-2.402369499206543,7.056868076324463,-13.815510749816895,2.02919602394104,2,2,2,0.25,0.25,6,8,8,57.64194240407075,5.974007606506348,5.382318019866943,0.6727897524833679,0.3272102475166321,1.0171486793381237e-07,0.3077160351469386,3.4657359027997265
lam1em2,正则族,42,0,8,8,256,0.71932053565979,0.5532662868499756,0.6882826685905457,0.2434745877981186,-2.399148941040039,7.0579094886779785,-13.815510749816895,2.0139596462249756,2,2,2,0.25,0.25,6,8,8,57.64194240407075,5.982039451599121,5.406527042388916,0.6758158802986145,0.3241841197013855,1.0350890837442207e-07,0.3076431144945385,3.4657359027997265
lam1em1,正则族,42,0,8,8,256,1.1697169542312622,0.37254276871681213,1.098137378692627,0.22683194279670715,-0.5873661041259766,5.352643966674805,-13.815510749816895,1.6527681350708008,1,1,1,0.125,0.125,7,8,8,57.64194240407075,6.763420581817627,6.3986382484436035,0.7998297810554504,0.20017021894454956,1.2281669081585784e-07,0.23690384060515243,3.4657359027997265
scalar,对照,42,0,8,8,256,1.25538969039917,0.3902040421962738,1.2034986019134521,0.19750221073627472,1.3750081062316895,0.0,1.3750081062316895,1.3750081062316895,0,0,0,0.0,0.0,8,8,8,57.64194240407075,0.07994602620601654,7.671451568603516,0.9589314460754395,0.04106855392456055,0.4559258896969431,0.08438864304105394,3.4657359027997265
nobeta,对照,42,0,8,8,256,1.2553926706314087,0.6706821918487549,1.1250152587890625,0.7378218173980713,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,8,8,57.64194240407075,5.974092483520508,7.671449661254883,0.9589312076568604,0.04106879234313965,0.4559258481075495,0.08438818482187324,3.4657359027997265
unbound,基准,42,0,8,16,256,0.6636714339256287,0.27468976378440857,0.6284839510917664,0.2081785649061203,-0.13338880240917206,3.717339277267456,-13.815510749816895,1.7635689973831177,1,1,1,0.0625,0.0625,15,8,8,8.965938744236164,0.0001413578720530495,11.825940132141113,0.7391212582588196,0.2608787417411804,1.6811410751958198e-07,0.018587307249804397,2.772588722239781
box33,约束族,42,0,8,16,256,0.6632948517799377,0.27437201142311096,0.6284583210945129,0.2075524926185608,0.5502023696899414,1.1691696643829346,-3.0,1.7680686712265015,1,0,0,0.0625,0.0,15,8,8,8.965938744236164,0.0001429937401553616,11.944883346557617,0.7465552091598511,0.2534447908401489,0.008410256661164312,0.018688089368463216,2.772588722239781
box77,约束族,42,0,8,16,256,0.6636655330657959,0.27468425035476685,0.6284836530685425,0.20816665887832642,0.2927306294441223,2.0707061290740967,-7.0,1.7636516094207764,1,1,0,0.0625,0.0,15,8,8,8.965938744236164,0.0001413989084539935,11.829349517822266,0.7393343448638916,0.2606656551361084,0.00015331378040892986,0.018589193778772987,2.772588722239781
box33_lam1em2,约束族,42,0,8,16,256,0.6578875780105591,0.25703364610671997,0.6266730427742004,0.19372457265853882,0.6368764638900757,1.0786820650100708,-3.0,1.733081579208374,1,0,0,0.0625,0.0,15,8,8,8.965938744236164,0.012683404609560966,12.526633262634277,0.7829145789146423,0.21708542108535767,0.008652185863306674,0.017670947191705807,2.772588722239781
noridge,正则族,42,0,8,16,256,0.6650550961494446,0.2784503400325775,0.6273941993713379,0.21287257969379425,-0.19021765887737274,3.7383365631103516,-13.815510749816895,1.7653437852859497,1,1,1,0.0625,0.0625,15,8,8,8.965938744236164,6.207301339600235e-11,11.638175010681152,0.727385938167572,0.272614061832428,1.667191945143483e-07,0.018845499257515184,2.772588722239781
lam1em4,正则族,42,0,8,16,256,0.6649112105369568,0.2780332863330841,0.6274956464767456,0.21235617995262146,-0.18174059689044952,3.734417676925659,-13.815510749816895,1.765202522277832,1,1,1,0.0625,0.0625,15,8,8,8.965938744236164,1.4273778106144164e-06,11.659751892089844,0.7287344932556152,0.27126550674438477,1.6687137165135013e-07,0.01881808150983021,2.772588722239781
lam1em2,正则族,42,0,8,16,256,0.6582961678504944,0.25836992263793945,0.626705527305603,0.1974523961544037,-0.03801390528678894,3.7042598724365234,-13.815510749816895,1.7294176816940308,1,1,1,0.0625,0.0625,15,8,8,8.965938744236164,0.012537791393697262,12.436976432800293,0.7773110270500183,0.2226889729499817,1.7321999544885075e-07,0.017552787545637598,2.772588722239781
lam1em1,正则族,42,0,8,16,256,0.660818874835968,0.22015559673309326,0.6250684261322021,0.1636093407869339,0.7555833458900452,0.5842007398605347,-1.018863320350647,1.42082941532135,0,0,0,0.0,0.0,16,8,8,8.965938744236164,0.5580945014953613,13.036428451538086,0.8147767782211304,0.18522322177886963,0.0631757351709638,0.018278699531732324,2.772588722239781
scalar,对照,42,0,8,16,256,0.6292049288749695,0.24131418764591217,0.5805974006652832,0.16712351143360138,0.9399146437644958,6.155941179031288e-08,0.9399145841598511,0.9399145841598511,0,0,0,0.0,0.0,16,8,8,8.965938744236164,0.021605808287858963,14.737824440002441,0.9211140275001526,0.07888597249984741,0.3062854127947428,0.016675104956546907,2.772588722239781
nobeta,对照,42,0,8,16,256,0.6292060613632202,0.5307404398918152,0.6259179711341858,0.5749900937080383,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,15,8,8,8.965938744236164,0.0001413578720530495,14.737820625305176,0.9211137890815735,0.07888621091842651,0.3062854451078981,0.01667513975800367,2.772588722239781
unbound,基准,42,0,8,32,256,0.6514974236488342,0.19795061647891998,0.6091667413711548,0.15273356437683105,-0.7823247909545898,3.6009626388549805,-13.815510749816895,1.4385045766830444,3,2,2,0.09375,0.0625,30,8,8,8.940520934195263,2.014438359765336e-05,18.198888778686523,0.5687152743339539,0.43128472566604614,6.529930184086256e-08,0.024693588253839823,2.0794415416798357
box33,约束族,42,0,8,32,256,0.6515774726867676,0.19322209060192108,0.6088132858276367,0.14928993582725525,-0.04969199746847153,1.2504938840866089,-3.0,1.444776177406311,2,0,0,0.0625,0.0,30,8,8,8.940520934195263,2.0449229850783013e-05,18.566936492919922,0.5802167654037476,0.41978323459625244,0.003272859263276519,0.02511093312356203,2.0794415416798357
box77,约束族,42,0,8,32,256,0.6514984369277954,0.19785909354686737,0.6091597080230713,0.1526723951101303,-0.3552432954311371,2.0758161544799805,-7.0,1.4385991096496582,3,2,0,0.09375,0.0,30,8,8,8.940520934195263,2.014583151321858e-05,18.20779037475586,0.5689934492111206,0.4310065507888794,5.955196236237751e-05,0.024700220831474214,2.0794415416798357
box33_lam1em2,约束族,42,0,8,32,256,0.6440426111221313,0.17099137604236603,0.6044694185256958,0.15226396918296814,0.14726512134075165,1.0271517038345337,-3.0,1.4135099649429321,2,0,0,0.0625,0.0,30,8,8,8.940520934195263,0.0019450169056653976,20.35453987121582,0.6360793709754944,0.3639206290245056,0.0034216332479392523,0.02580539329310889,2.0794415416798357
noridge,正则族,42,0,8,32,256,0.6517379283905029,0.20262134075164795,0.6101201772689819,0.16056273877620697,-1.2328251600265503,4.1979217529296875,-13.815510749816895,1.4428157806396484,5,4,2,0.15625,0.0625,30,8,8,8.940520934195263,1.1368683772161603e-11,17.80630111694336,0.55644690990448,0.44355309009552,4.0939462767072496e-08,0.02451596741877383,2.0794415416798357
lam1em4,正则族,42,0,8,32,256,0.6517112851142883,0.20213446021080017,0.6100224256515503,0.1597355604171753,-0.9753941893577576,3.7578208446502686,-13.815510749816895,1.4423686265945435,5,2,2,0.15625,0.0625,30,8,8,8.940520934195263,2.0478319129324518e-07,17.850685119628906,0.5578339099884033,0.4421660900115967,6.48181682247911e-08,0.024534243983816217,2.0794415416798357
lam1em2,正则族,42,0,8,32,256,0.6462138295173645,0.17372608184814453,0.6046434044837952,0.1514449119567871,-0.5278235673904419,3.5382533073425293,-13.815510749816895,1.4087051153182983,2,2,2,0.0625,0.0625,30,8,8,8.940520934195263,0.0019117060583084822,20.134061813354492,0.6291894316673279,0.3708105683326721,6.845564696113142e-08,0.025534672760964095,2.0794415416798357
lam1em1,正则族,42,0,8,32,256,0.6261857151985168,0.12012100964784622,0.5896307229995728,0.1303335428237915,0.2522033751010895,0.9015941023826599,-3.603705406188965,1.2459404468536377,1,0,0,0.03125,0.0,32,8,8,8.940520934195263,0.12850388884544373,21.69891357421875,0.6780910491943359,0.32190895080566406,0.00534359433672593,0.026224147621829924,2.0794415416798357
scalar,对照,42,0,8,32,256,0.6116854548454285,0.1271948367357254,0.5605159997940063,0.113470159471035,0.5829563736915588,6.055837786789198e-08,0.5829564332962036,0.5829564332962036,0,0,0,0.0,0.0,32,8,8,8.940520934195263,0.02258218824863434,27.377857208251953,0.8555580377578735,0.14444196224212646,0.12076726550462989,0.023824642280456873,2.0794415416798357
nobeta,对照,42,0,8,32,256,0.611685574054718,0.39125683903694153,0.581759512424469,0.4414120614528656,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,30,8,8,8.940520934195263,2.014438359765336e-05,27.377851486206055,0.8555578589439392,0.1444421410560608,0.1207672430278648,0.023824659681185252,2.0794415416798357
unbound,基准,42,0,8,64,256,0.6518309116363525,0.16493631899356842,0.607712984085083,0.1399601846933365,-0.3394833505153656,0.9125672578811646,-3.759246826171875,1.0913726091384888,2,0,0,0.03125,0.0,64,8,8,7.991794111752607,9.311495432484662e-07,28.672990798950195,0.4480154812335968,0.5519845187664032,0.0016321130566207204,0.02901867269841292,1.3862943611198906
box33,约束族,42,0,8,64,256,0.6522238254547119,0.16327914595603943,0.6071756482124329,0.1395760178565979,-0.26879042387008667,0.7678229212760925,-2.646103858947754,1.079371452331543,0,0,0,0.0,0.0,64,8,8,7.991794111752607,9.292502909374889e-07,29.443368911743164,0.46005263924598694,0.5399473607540131,0.004138635849237311,0.029391492004330666,1.3862943611198906
