spec,family,seed,dest,M,budget,L_s,lam,eval_out_err_median,eval_abs_mass_median,eval_mixture_median,fit_abs_mass_median,beta_mean,beta_std,beta_min,beta_max,beta_span,n_beta_le_m3,n_beta_at_clamp,at_box_lower,at_box_upper,box_bind_rate,clamp_rate,rank_G_numeric,solver_residual,solver_lambda_eff,x_eff_budget_frac,x_eff_loss,v_fit_resid_rel,beta_ideal_mass_preserving
box_lam1em3,箱+λ,42,0,8,8,256,0.001,0.7196710109710693,0.5500155687332153,0.6886014342308044,0.24371331930160522,0.30156928300857544,2.078883647918701,-3.0,2.0140836238861084,5.014083623886108,2,0,2,0,0.25,0.0,8,6.03768253326416,0.0009036656618118286,0.685800313949585,0.31419968605041504,0.30708714962229394,3.4657359027997265
box_lam3em3,箱+λ,42,0,8,8,256,0.003,0.7196822166442871,0.5503954887390137,0.6885125041007996,0.24178217351436615,0.30223599076271057,2.0786314010620117,-3.0,2.0109782218933105,5.0109782218933105,2,0,2,0,0.25,0.0,8,6.038334846496582,0.002710996985435486,0.6864388585090637,0.3135611414909363,0.3070726026133678,3.4657359027997265
box_lam1em2,箱+λ,42,0,8,8,256,0.01,0.7197182178497314,0.5517225861549377,0.6882007122039795,0.24202530086040497,0.30424320697784424,2.0777485370635986,-3.0,2.000396728515625,5.000396728515625,2,0,2,0,0.25,0.0,8,6.045351028442383,0.009036656618118286,0.6884612441062927,0.3115387558937073,0.3070205628350243,3.4657359027997265
box_lam3em2,箱+λ,42,0,8,8,256,0.03,0.9904832243919373,0.46035799384117126,0.960120677947998,0.1983942985534668,0.7215752601623535,1.577012300491333,-3.0,1.7075955867767334,4.707595586776733,1,0,1,0,0.125,0.0,8,6.367362976074219,0.02710996985435486,0.7779399156570435,0.22206008434295654,0.2533853001058556,3.4657359027997265
box_lam1em1,箱+λ,42,0,8,8,256,0.1,1.1681649684906006,0.3725464642047882,1.0961270332336426,0.2272934913635254,0.7626360654830933,1.5469937324523926,-3.0,1.6503405570983887,4.650340557098389,1,0,1,0,0.125,0.0,8,6.810689926147461,0.09036656618118287,0.8065842986106873,0.19341570138931274,0.23647385700638315,3.4657359027997265
box_lam3em1,箱+λ,42,0,8,8,256,0.3,1.1487218141555786,0.2864113748073578,1.0615861415863037,0.27035897970199585,1.119077205657959,0.29409119486808777,0.6324352025985718,1.5175933837890625,0.8851581811904907,0,0,0,0,0.0,0.0,8,9.851961135864258,0.2710996985435486,0.8969569802284241,0.10304301977157593,0.10906568900244663,3.4657359027997265
box_lam1e0,箱+λ,42,0,8,8,256,1.0,1.1530323028564453,0.23560288548469543,1.0599915981292725,0.2740519046783447,1.0448108911514282,0.16954760253429413,0.7575733065605164,1.3236730098724365,0.5660997033119202,0,0,0,0,0.0,0.0,8,16.84581756591797,0.9036656618118286,0.920009195804596,0.07999080419540405,0.10388930872331127,3.4657359027997265
box_lam3e0,箱+λ,42,0,8,8,256,3.0,1.1833912134170532,0.26561108231544495,1.0771880149841309,0.3604186475276947,0.8672634959220886,0.11499503254890442,0.6937043070793152,1.0519206523895264,0.3582163453102112,0,0,0,0,0.0,0.0,8,39.74285888671875,2.710996985435486,0.9327836632728577,0.06721633672714233,0.09690871072106609,3.4657359027997265
box_lam1e1,箱+λ,42,0,8,8,256,10.0,1.2139111757278442,0.41747212409973145,1.0993884801864624,0.548602819442749,0.5511282682418823,0.07380770146846771,0.46710705757141113,0.6557047367095947,0.1885976791381836,0,0,0,0,0.0,0.0,8,96.47146606445312,9.036656618118286,0.9435938596725464,0.05640614032745361,0.09091633488500983,3.4657359027997265
box_lam3e1,箱+λ,42,0,8,8,256,30.0,1.2344499826431274,0.562386691570282,1.1024062633514404,0.6564948558807373,0.2740160822868347,0.04051957279443741,0.22645902633666992,0.3266780376434326,0.1002190113067627,0,0,0,0,0.0,0.0,8,149.47225952148438,27.10996985435486,0.9512226581573486,0.04877734184265137,0.08748126869588854,3.4657359027997265
