spec,family,seed,dest,M,budget,L_s,lam,eval_out_err_median,eval_abs_mass_median,eval_mixture_median,fit_abs_mass_median,beta_mean,beta_std,beta_min,beta_max,beta_span,n_beta_le_m3,n_beta_at_clamp,at_box_lower,at_box_upper,box_bind_rate,clamp_rate,rank_G_numeric,solver_residual,solver_lambda_eff,x_eff_budget_frac,x_eff_loss,v_fit_resid_rel,beta_ideal_mass_preserving
box_lam1em3,箱+λ,42,0,8,8,128,0.001,0.5717599391937256,0.2690310776233673,0.49760425090789795,0.2029891163110733,-0.2534824013710022,2.2357897758483887,-3.0,2.423943519592285,5.423943519592285,2,0,2,0,0.25,0.0,8,1.3416138887405396,0.0007791012525558471,0.5853042006492615,0.4146957993507385,0.3157827821630593,2.772588722239781
box_lam3em3,箱+λ,42,0,8,8,128,0.003,0.5720532536506653,0.2575794458389282,0.5005912184715271,0.20937319099903107,-0.11877602338790894,2.109243154525757,-3.0,2.3918464183807373,5.391846418380737,2,0,2,0,0.25,0.0,8,1.3517593145370483,0.0023373037576675418,0.5997694134712219,0.4002305865287781,0.30536420926776525,2.772588722239781
box_lam1em2,箱+λ,42,0,8,8,128,0.01,0.5590842962265015,0.23686426877975464,0.47511279582977295,0.2253139317035675,0.10774211585521698,1.8752890825271606,-3.0,2.3017024993896484,5.301702499389648,1,0,1,0,0.125,0.0,8,1.4406112432479858,0.007791012525558472,0.6331539154052734,0.36684608459472656,0.2808497643759993,2.772588722239781
box_lam3em2,箱+λ,42,0,8,8,128,0.03,0.5594101548194885,0.20497694611549377,0.48075467348098755,0.20585641264915466,0.5536762475967407,1.1733838319778442,-1.5855848789215088,2.122605323791504,3.7081902027130127,0,0,0,0,0.0,0.0,8,2.024340867996216,0.023373037576675415,0.7124131321907043,0.28758686780929565,0.21618848166563032,2.772588722239781
box_lam1em1,箱+λ,42,0,8,8,128,0.1,0.597026526927948,0.1831161379814148,0.526096522808075,0.22417740523815155,0.666562020778656,0.7692385315895081,-0.8187288045883179,1.6268343925476074,2.4455631971359253,0,0,0,0,0.0,0.0,8,4.015329360961914,0.07791012525558472,0.7651864290237427,0.23481357097625732,0.17098095636642469,2.772588722239781
box_lam3em1,箱+λ,42,0,8,8,128,0.3,0.6262089610099792,0.17179030179977417,0.5157948136329651,0.28165367245674133,0.6696906089782715,0.4685126841068268,-0.34412333369255066,1.097741961479187,1.4418652951717377,0,0,0,0,0.0,0.0,8,6.371792793273926,0.23373037576675415,0.7638922333717346,0.23610776662826538,0.16034874246651237,2.772588722239781
box_lam1e0,箱+λ,42,0,8,8,128,1.0,0.6313208937644958,0.1823263019323349,0.4964081943035126,0.3239426016807556,0.5781869888305664,0.26078149676322937,0.014755991287529469,0.9448057413101196,0.9300497500225902,0,0,0,0,0.0,0.0,8,9.324790000915527,0.7791012525558472,0.7431308627128601,0.2568691372871399,0.15851517251539815,2.772588722239781
box_lam3e0,箱+λ,42,0,8,8,128,3.0,0.6118922829627991,0.2750398516654968,0.5035637617111206,0.29612988233566284,0.4390081465244293,0.20031654834747314,0.12627306580543518,0.8181900978088379,0.6919170320034027,0,0,0,0,0.0,0.0,8,13.934403419494629,2.3373037576675415,0.73685222864151,0.26314777135849,0.16027666841012161,2.772588722239781
box_lam1e1,箱+λ,42,0,8,8,128,10.0,0.5995954871177673,0.3976287245750427,0.5299485325813293,0.42013436555862427,0.2583855390548706,0.1429930329322815,0.10313958674669266,0.5459296703338623,0.44279008358716965,0,0,0,0,0.0,0.0,8,24.229585647583008,7.791012525558472,0.7593636512756348,0.24063634872436523,0.1581014416200697,2.772588722239781
nobox_lam1em3,无箱互校,42,0,8,8,128,0.001,0.5747443437576294,0.2634543180465698,0.5075974464416504,0.20263072848320007,-2.8499903678894043,6.875528812408447,-13.815510749816895,2.4261186122894287,16.241629362106323,2,2,2,0,0.25,0.25,8,1.3185712099075317,0.0007791012525558471,0.5777434706687927,0.4222565293312073,0.31422054886271455,2.772588722239781
