seed,focus_strength,budget,nominal_compression_ratio,projection_dim,reference_projection_dim,M,n_fit_queries,n_eval_queries,selection_jaccard_vs_noprojection,selection_jaccard_vs_max_dp,jl_distortion_mean,jl_distortion_p95,nearest_repr_dist_median,nearest_eval_dist_median,coverage_ratio,coverage_frac_within_radius,eps_mass_abscommon_median,eps_mass_abscommon_mean,eps_out_rel_median,eps_out_rel_mean
42,0.0,16,0.0625,4,64,32,48,48,0.5609756097560976,0.5609756097560976,0.28560424132931683,0.671433109926854,6.233920298346932,6.082253598292317,1.0249359382345014,0.3541666666666667,0.47535458997140273,0.42218699510797264,0.8335873023010716,0.8407726300994813
42,0.0,16,0.0625,8,64,32,48,48,0.4883720930232558,0.5238095238095238,0.21531635658663661,0.50743731565346,6.230798364892255,6.082253598292317,1.0244226525905826,0.375,0.46250187109705,0.4407505435776445,0.8536445254569831,0.8385355610143875
42,0.0,16,0.0625,16,64,32,48,48,0.5238095238095238,0.4222222222222222,0.1390532852782407,0.3325989082952159,6.378480071229531,6.082253598292317,1.048703407075847,0.2708333333333333,0.38929147616307275,0.3748427403284593,0.8394911167946232,0.8459625110711494
42,0.0,16,0.0625,32,64,32,48,48,0.8285714285714286,0.5609756097560976,0.09242514848645728,0.2220302689248257,6.317083473542975,6.082253598292317,1.0386090240162875,0.3333333333333333,0.40673984710984146,0.40061593329384504,0.8340402590621704,0.8290392023677337
42,0.0,16,0.0625,64,64,32,48,48,0.5238095238095238,1.0,0.0622237370458745,0.1576189179364711,6.330871553484835,6.082253598292317,1.0408759600654074,0.2708333333333333,0.37646477271896117,0.39863246476624564,0.8515607974207707,0.8301157365529314
42,0.0,16,0.0625,,64,32,48,48,1.0,,0.0,0.0,6.2800640073278515,6.082253598292317,1.032522552017568,0.3541666666666667,,,,
42,0.0,32,0.125,4,64,32,48,48,0.5609756097560976,0.5609756097560976,0.28560424132931683,0.671433109926854,6.233920298346932,6.082253598292317,1.0249359382345014,0.3541666666666667,0.3018976211137315,0.32701067312231613,0.8396841990077196,0.8676387408894212
42,0.0,32,0.125,8,64,32,48,48,0.4883720930232558,0.5238095238095238,0.21531635658663661,0.50743731565346,6.230798364892255,6.082253598292317,1.0244226525905826,0.375,0.2726059394808946,0.2935591870701637,0.8791874067282326,0.9356174439926296
42,0.0,32,0.125,16,64,32,48,48,0.5238095238095238,0.4222222222222222,0.1390532852782407,0.3325989082952159,6.378480071229531,6.082253598292317,1.048703407075847,0.2708333333333333,0.23897334623512947,0.2850836785821111,0.8792198117738496,0.8709891948909382
42,0.0,32,0.125,32,64,32,48,48,0.8285714285714286,0.5609756097560976,0.09242514848645728,0.2220302689248257,6.317083473542975,6.082253598292317,1.0386090240162875,0.3333333333333333,0.29896762837215196,0.2929196159069746,0.8402165959142859,0.8466021612416103
42,0.0,32,0.125,64,64,32,48,48,0.5238095238095238,1.0,0.0622237370458745,0.1576189179364711,6.330871553484835,6.082253598292317,1.0408759600654074,0.2708333333333333,0.24288467937609254,0.26108449632120645,0.8655849369542815,0.8629196479933721
42,0.0,32,0.125,,64,32,48,48,1.0,,0.0,0.0,6.2800640073278515,6.082253598292317,1.032522552017568,0.3541666666666667,,,,
42,0.0,64,0.25,4,64,32,48,48,0.5609756097560976,0.5609756097560976,0.28560424132931683,0.671433109926854,6.233920298346932,6.082253598292317,1.0249359382345014,0.3541666666666667,0.13499124383957964,0.16877957273050348,0.7982916820485405,0.8023359064451836
42,0.0,64,0.25,8,64,32,48,48,0.4883720930232558,0.5238095238095238,0.21531635658663661,0.50743731565346,6.230798364892255,6.082253598292317,1.0244226525905826,0.375,0.15292879950696445,0.17252355167888478,0.8045175398982676,0.8261809858962632
42,0.0,64,0.25,16,64,32,48,48,0.5238095238095238,0.4222222222222222,0.1390532852782407,0.3325989082952159,6.378480071229531,6.082253598292317,1.048703407075847,0.2708333333333333,0.17460819732476812,0.19665812996562124,0.8590222359423988,0.89911342647342
42,0.0,64,0.25,32,64,32,48,48,0.8285714285714286,0.5609756097560976,0.09242514848645728,0.2220302689248257,6.317083473542975,6.082253598292317,1.0386090240162875,0.3333333333333333,0.19899571102938782,0.18457390381560487,0.8739220849850562,0.8600606468330004
42,0.0,64,0.25,64,64,32,48,48,0.5238095238095238,1.0,0.0622237370458745,0.1576189179364711,6.330871553484835,6.082253598292317,1.0408759600654074,0.2708333333333333,0.174719242285089,0.19150426759312786,0.82726141133113,0.8478461187710464
42,0.0,64,0.25,,64,32,48,48,1.0,,0.0,0.0,6.2800640073278515,6.082253598292317,1.032522552017568,0.3541666666666667,,,,
