seed,focus_strength,beta_mode,n_blocks,chunk_len,per_chunk_budget,L_total,M,lhs_median,lhs_mean,sum_abs_dM_over_S_median,net_abs_dM_over_S_median,cancellation_ratio_median,S_median
42,0.0,none,1,64,16,64,32,0.3109767360233094,0.3334354311760755,0.237380657246317,0.237380657246317,1.0,20.1291897719712
42,0.0,none,2,64,16,128,32,0.389847885876826,0.4047748156445447,0.3541143305533162,0.3541143305533162,1.0,25.528053191552765
42,0.0,none,4,64,16,256,32,0.3742883759941254,0.39374527790972436,0.48591856215422274,0.48591856215422274,1.0,36.925023211807584
42,0.0,none,8,64,16,512,32,0.39777094756411646,0.39385503231680624,0.5869110601727414,0.5869110601727414,1.0,49.14839182755746
42,0.0,full,1,64,16,64,32,0.22416822686670074,0.257856453380993,0.08262806957746066,0.08262806957746066,1.0,20.1291897719712
42,0.0,full,2,64,16,128,32,0.28665827487584405,0.29853796024391593,0.11252661792676323,0.08868546660187736,1.0,25.528053191552765
42,0.0,full,4,64,16,256,32,0.2546836933575558,0.2657161593791821,0.18188992389393793,0.15681598150546228,0.97453644835456,36.925023211807584
42,0.0,full,8,64,16,512,32,0.223028300231051,0.23066649302204909,0.20732746702603064,0.1548073568753184,0.8646859787058373,49.14839182755746
42,8.0,none,1,64,16,64,32,0.343212174565103,0.35699921219451664,0.12545463338636204,0.12545463338636204,1.0,6.198568978437301
42,8.0,none,2,64,16,128,32,0.40221696814054353,0.4731770547798994,0.20613632255876155,0.20613632255876155,1.0,11.45642515752989
42,8.0,none,4,64,16,256,32,0.2299868621652357,0.24282576254192315,0.19812724055531347,0.19812724055531347,1.0,12.515342086966664
42,8.0,none,8,64,16,512,32,0.18601987975690665,0.20613813931159944,0.22064198073046704,0.22064198073046704,1.0,13.365673544928528
42,8.0,full,1,64,16,64,32,0.18984292854117216,0.2103118288580299,0.043085186909124565,0.043085186909124565,1.0,6.198568978437301
42,8.0,full,2,64,16,128,32,0.22883373261199422,0.260376075105635,0.07157376372679007,0.06428555822005769,1.0,11.45642515752989
42,8.0,full,4,64,16,256,32,0.15799517937803295,0.1768598395798274,0.06756265189566778,0.03955058512825698,0.7808062372724819,12.515342086966664
42,8.0,full,8,64,16,512,32,0.14214458500712548,0.1545908809581538,0.08032602914485822,0.04975732160699306,0.6023429742862673,13.365673544928528
43,0.0,none,1,64,16,64,32,0.4121038168440204,0.44765258509578637,0.24324354380096874,0.24324354380096874,1.0,21.395865333812022
43,0.0,none,2,64,16,128,32,0.4198834715625835,0.4398989212000192,0.36727411504265634,0.36727411504265634,1.0,25.44846073541064
43,0.0,none,4,64,16,256,32,0.4333934977201368,0.4403222074957301,0.4770440620622753,0.4770440620622753,1.0,34.264602065255566
43,0.0,none,8,64,16,512,32,0.36070552073843787,0.36697225211152046,0.5862628878050381,0.5862628878050381,1.0,51.831788332924816
43,0.0,full,1,64,16,64,32,0.2106415574091019,0.2590831373760803,0.08671449438889144,0.08671449438889144,1.0,21.395865333812022
43,0.0,full,2,64,16,128,32,0.2644686523613557,0.28149679087409457,0.11338923484462975,0.11326441326202635,1.0,25.44846073541064
43,0.0,full,4,64,16,256,32,0.22657033403122723,0.24758722565391797,0.15694404376652799,0.1446306575020637,1.0,34.264602065255566
43,0.0,full,8,64,16,512,32,0.2092779569269849,0.2137170552431975,0.20660619610939243,0.1826055881569821,0.946488953722633,51.831788332924816
43,8.0,none,1,64,16,64,32,0.28937637906236413,0.31095958624436815,0.13030696949927648,0.13030696949927648,1.0,5.697141176550238
43,8.0,none,2,64,16,128,32,0.2532127697768907,0.2828359071389921,0.1694095655118067,0.1694095655118067,1.0,8.550174581822994
43,8.0,none,4,64,16,256,32,0.23111018145659143,0.2535033351629813,0.2049647932476481,0.2049647932476481,1.0,10.351867750285622
43,8.0,none,8,64,16,512,32,0.2036801755044198,0.2152034149881272,0.25140794982852704,0.25140794982852704,1.0,16.07350215247027
43,8.0,full,1,64,16,64,32,0.22661358949300373,0.26199496752872037,0.042594374854040155,0.042594374854040155,1.0,5.697141176550238
43,8.0,full,2,64,16,128,32,0.1638751861141253,0.18202857738439637,0.048438041391251255,0.03192503559448092,1.0,8.550174581822994
43,8.0,full,4,64,16,256,32,0.1702625251981115,0.183914400583688,0.05703923717416762,0.04736145207181542,0.8206211403572569,10.351867750285622
43,8.0,full,8,64,16,512,32,0.13379298064696035,0.1522081378772859,0.08026874365000296,0.04903517293101796,0.5731776463410857,16.07350215247027
