preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
legacy,42,0,8,16,256,0.6508604288101196,0.6859161257743835,-0.7058267593383789,0.7045925259590149,0.3225975036621094,0.6498664021492004,1.7358324527740479,1.9307516813278198,1.6644985675811768,2.514544725418091,0,1.0,9.610960205463925e-08,0.003626712132245302,5.485915958491503,165207456.0,8,3.4657359027997265
legacy_fixed_solver,42,0,8,16,256,0.7456026077270508,0.7925038933753967,-0.6650884747505188,0.6622825264930725,0.34411799907684326,1.2945626974105835,0.9992717504501343,-7.19258975982666,-13.815510749816895,-5.14760160446167,1,1.0,9.610960205463925e-08,0.003626712132245302,5.485915958491503,2.656480312347412,8,3.4657359027997265
shift,42,0,8,16,256,0.6027392148971558,0.6725649833679199,-0.5852930545806885,0.5658472776412964,0.3216273784637451,0.7931080460548401,0.8139815926551819,-7.804352283477783,-13.815510749816895,-3.0769059658050537,3,1.0,9.610960205463925e-08,0.003626712132245302,5.485915958491503,168.7528533935547,8,3.4657359027997265
am,42,0,8,16,256,0.5838071703910828,0.6291990876197815,-0.655453622341156,0.6271696090698242,0.342077374458313,0.5375787019729614,0.21552015841007233,-0.7766309976577759,-13.815510749816895,2.096259593963623,1,5.454752445220947,1.8992818593978882,3.7337162494659424,2.7829079316031033,23.09585189819336,8,3.4657359027997265
am_over_m,42,0,8,16,256,0.6112266182899475,0.662987470626831,-0.6410672068595886,0.6391677856445312,0.3178638815879822,0.6937867403030396,0.6564126014709473,-0.7766309976577759,-13.815510749816895,2.096259593963623,1,5.454752445220947,1.8992818593978882,3.7337162494659424,2.7829079316031033,23.09585189819336,8,3.4657359027997265
am_logfit,42,0,8,16,256,0.5968326926231384,0.6327061057090759,-0.6498783826828003,0.642525315284729,0.33791017532348633,0.5539472699165344,0.27893802523612976,0.8813642859458923,-1.0589702129364014,2.080728530883789,0,5.454752445220947,1.8992818593978882,3.7337162494659424,2.7829079316031033,0.08497772365808487,8,3.4657359027997265
am_scalar,42,0,8,16,256,0.6097399592399597,0.6691108345985413,-0.6373217105865479,0.6334809064865112,0.31580495834350586,0.5713618993759155,0.41218116879463196,1.3753397464752197,1.3753398656845093,1.3753398656845093,0,5.454752445220947,1.8992818593978882,3.7337162494659424,2.7829079316031033,0.14703166484832764,8,3.4657359027997265
am_nobeta,42,0,8,16,256,0.6097398996353149,0.6691107749938965,-0.6373217105865479,0.6334809064865112,0.31580495834350586,0.6974166035652161,0.6631280183792114,0.0,0.0,0.0,0,5.454752445220947,1.8992818593978882,3.7337162494659424,2.7829079316031033,23.09585189819336,8,3.4657359027997265
legacy,42,0,16,16,256,0.5402390956878662,0.6022931933403015,-0.644018828868866,0.634209394454956,0.2369002401828766,0.6060356497764587,2.2519640922546387,1.600085973739624,1.0555566549301147,2.514544725418091,0,1.0,9.610960205463925e-08,0.0021196086890995502,4.216947101100834,237149312.0,16,2.772588722239781
legacy_fixed_solver,42,0,16,16,256,1.2901076078414917,1.3285726308822632,-0.6595816612243652,0.6408113837242126,0.41708505153656006,1.290521264076233,0.999216616153717,-9.371545791625977,-13.815510749816895,-4.206429481506348,7,1.0,9.610960205463925e-08,0.0021196086890995502,4.216947101100834,0.8640395402908325,16,2.772588722239781
