preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
legacy,42,0,8,16,256,0.6655423045158386,0.7651436924934387,-0.7091383337974548,0.7064511179924011,0.3343929648399353,0.744914710521698,1.6960269212722778,1.8099318742752075,1.1749664545059204,2.618438959121704,0,1.0,8.287689468033932e-08,0.0044010719284415245,5.768431864902821,228017936.0,8,3.4657359027997265
legacy_fixed_solver,42,0,8,16,256,0.9720102548599243,0.9685521125793457,-0.6728466153144836,0.6587773561477661,0.4797743558883667,1.2948122024536133,0.9994279146194458,-7.030383110046387,-13.815510749816895,-4.093580722808838,1,1.0,8.287689468033932e-08,0.0044010719284415245,5.768431864902821,1.786647081375122,8,3.4657359027997265
shift,42,0,8,16,256,0.5965648293495178,0.5898280739784241,-0.6418524384498596,0.631165623664856,0.3292490243911743,0.7892038226127625,0.8123363256454468,-7.037468910217285,-13.815510749816895,-4.092679023742676,1,1.0,8.287689468033932e-08,0.0044010719284415245,5.768431864902821,1.7866487503051758,8,3.4657359027997265
am,42,0,8,16,256,0.6524326801300049,0.6746139526367188,-0.6214239597320557,0.619963526725769,0.41794082522392273,0.6030868291854858,0.2123657464981079,-0.3778785765171051,-13.815510749816895,1.972538948059082,1,2.081413984298706,0.8262818455696106,4.423207759857178,2.8996789048262506,2.27488112449646,8,3.4657359027997265
am_over_m,42,0,8,16,256,0.5964315533638,0.5892641544342041,-0.6739684343338013,0.6654185056686401,0.3369702100753784,0.7051091194152832,0.7121549248695374,-0.3778785765171051,-13.815510749816895,1.972538948059082,1,2.081413984298706,0.8262818455696106,4.423207759857178,2.8996789048262506,2.27488112449646,8,3.4657359027997265
am_logfit,42,0,8,16,256,0.6591392159461975,0.6787568926811218,-0.6044651865959167,0.6023727655410767,0.42414557933807373,0.6059005856513977,0.2043582946062088,-0.2524457573890686,-13.226842880249023,2.271369695663452,0,2.081413984298706,0.8262818455696106,4.423207759857178,2.8996789048262506,0.049169883131980896,8,3.4657359027997265
am_scalar,42,0,8,16,256,0.5865785479545593,0.5903638005256653,-0.6455946564674377,0.6395329833030701,0.3261432945728302,0.5466620922088623,0.406731516122818,1.448683500289917,1.4486833810806274,1.4486833810806274,0,2.081413984298706,0.8262818455696106,4.423207759857178,2.8996789048262506,0.1207035481929779,8,3.4657359027997265
am_nobeta,42,0,8,16,256,0.5865786075592041,0.5903638005256653,-0.6455946564674377,0.6395329833030701,0.3261432945728302,0.6870743036270142,0.6779481172561646,0.0,0.0,0.0,0,2.081413984298706,0.8262818455696106,4.423207759857178,2.8996789048262506,2.27488112449646,8,3.4657359027997265
legacy,42,0,16,16,256,0.7846562266349792,0.8281914591789246,-0.6486361622810364,0.6474578976631165,0.24119018018245697,0.8819653391838074,2.1744468212127686,1.5695600509643555,0.7585980892181396,2.618438482284546,0,1.0,8.287689468033932e-08,0.0025598860811442137,4.9925558990187096,331610336.0,16,2.772588722239781
legacy_fixed_solver,42,0,16,16,256,1.6836153268814087,1.686269760131836,-0.6609451770782471,0.6523002982139587,0.4784660339355469,1.294441819190979,0.9993309378623962,-9.809670448303223,-13.815510749816895,-4.239981174468994,8,1.0,8.287689468033932e-08,0.0025598860811442137,4.9925558990187096,1.0194828510284424,16,2.772588722239781
shift,42,0,16,16,256,0.5455053448677063,0.5853515863418579,-0.4792632758617401,0.44440487027168274,0.23010390996932983,0.6815351247787476,0.7518923878669739,-9.809579849243164,-13.815510749816895,-4.239561557769775,8,1.0,8.287689468033932e-08,0.0025598860811442137,4.9925558990187096,1.0194833278656006,16,2.772588722239781
am,42,0,16,16,256,0.5979426503181458,0.5691009163856506,-0.5996377468109131,0.5925818681716919,0.3953831195831299,0.5304694771766663,0.18156525492668152,-5.25006103515625,-13.815510749816895,2.3379993438720703,7,2.081413984298706,0.8262818455696106,2.6691713333129883,1.9697932922841437,0.27431637048721313,16,2.772588722239781
am_over_m,42,0,16,16,256,0.5480968952178955,0.5624480247497559,-0.5688191056251526,0.5465760827064514,0.2428293526172638,0.5705050826072693,0.6370405554771423,-5.25006103515625,-13.815510749816895,2.3379993438720703,7,2.081413984298706,0.8262818455696106,2.6691713333129883,1.9697932922841437,0.27431637048721313,16,2.772588722239781
am_logfit,42,0,16,16,256,0.551801323890686,0.5448476672172546,-0.5893699526786804,0.5853434801101685,0.33574575185775757,0.502127468585968,0.1557152420282364,-2.3734729290008545,-11.969815254211426,2.4380619525909424,0,2.081413984298706,0.8262818455696106,2.6691713333129883,1.9697932922841437,0.006486034020781517,16,2.772588722239781
am_scalar,42,0,16,16,256,0.5532334446907043,0.617096483707428,-0.5031636953353882,0.5013868808746338,0.22558671236038208,0.5410094857215881,0.26582881808280945,0.955841064453125,0.955841064453125,0.955841064453125,0,2.081413984298706,0.8262818455696106,2.6691713333129883,1.9697932922841437,0.05380042642354965,16,2.772588722239781
am_nobeta,42,0,16,16,256,0.5532324910163879,0.6170961260795593,-0.5031636953353882,0.5013868808746338,0.22558671236038208,0.5618135929107666,0.5177040696144104,0.0,0.0,0.0,0,2.081413984298706,0.8262818455696106,2.6691713333129883,1.9697932922841437,0.27431637048721313,16,2.772588722239781
legacy,42,0,32,16,256,0.8299412131309509,0.8869812488555908,-0.6478778123855591,0.6478778123855591,0.36179494857788086,1.2032668590545654,0.9850786328315735,-8.360450744628906,-13.815510749816895,-1.666213035583496,15,1.0,8.287689468033932e-08,0.0018751835450530052,4.578530218466766,6868.61865234375,16,2.0794415416798357
legacy_fixed_solver,42,0,32,16,256,1.292934536933899,1.3002126216888428,-0.6295626163482666,0.6301587820053101,0.48884910345077515,1.294156789779663,0.999308705329895,-11.028351783752441,-13.815510749816895,-4.027561187744141,21,1.0,8.287689468033932e-08,0.0018751835450530052,4.578530218466766,0.22584423422813416,16,2.0794415416798357
shift,42,0,32,16,256,0.48522859811782837,0.47938549518585205,-0.3149698078632355,0.3144664764404297,0.15119799971580505,0.6240943670272827,0.6983888149261475,-11.027700424194336,-13.815510749816895,-4.026891708374023,21,1.0,8.287689468033932e-08,0.0018751835450530052,4.578530218466766,0.225725457072258,16,2.0794415416798357
am,42,0,32,16,256,0.5745475888252258,0.6037713885307312,-0.43434378504753113,0.4149971306324005,0.23137547075748444,0.5193798542022705,0.14730235934257507,-2.181868553161621,-13.815510749816895,1.67402982711792,6,2.081413984298706,0.8262818455696106,1.8092570304870605,1.6868731547285059,0.004341512452811003,16,2.0794415416798357
am_over_m,42,0,32,16,256,0.4969486594200134,0.49103108048439026,-0.39945685863494873,0.39778026938438416,0.154796302318573,0.4706263244152069,0.40521252155303955,-2.181868553161621,-13.815510749816895,1.67402982711792,6,2.081413984298706,0.8262818455696106,1.8092570304870605,1.6868731547285059,0.004341512452811003,16,2.0794415416798357
am_logfit,42,0,32,16,256,0.5845491886138916,0.6072644591331482,-0.40754544734954834,0.40046560764312744,0.22715573012828827,0.5072579979896545,0.1860707700252533,0.09022265672683716,-1.8383063077926636,1.8539549112319946,0,2.081413984298706,0.8262818455696106,1.8092570304870605,1.6868731547285059,5.384892531878904e-11,16,2.0794415416798357
am_scalar,42,0,32,16,256,0.4709579646587372,0.481324166059494,-0.3674139976501465,0.36564818024635315,0.1473439484834671,0.441453754901886,0.15398575365543365,0.5983734726905823,0.598373532295227,0.598373532295227,0,2.081413984298706,0.8262818455696106,1.8092570304870605,1.6868731547285059,0.02914685197174549,16,2.0794415416798357
