preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,rank_upper_bound,beta_ideal_mass_preserving
beta_off,42,0,8,16,128,0.4376181364059448,0.46615347266197205,-0.5549882054328918,0.5300435423851013,0.25672590732574463,0.0,0.0,0.0,0,nan,nan,8,2.772588722239781
legacy,42,0,8,16,128,0.49538537859916687,0.5401133298873901,-0.6945297122001648,0.6800630688667297,0.2738598883152008,2.0531604290008545,1.365491509437561,2.975863218307495,0,1.0,7.694926296153426e-08,8,2.772588722239781
legacy_fixed_solver,42,0,8,16,128,0.6900883913040161,0.706089973449707,-0.6035875082015991,0.6018545627593994,0.34465622901916504,-7.1852593421936035,-13.815510749816895,-5.057961463928223,1,1.0,7.694926296153426e-08,8,2.772588722239781
shift,42,0,8,16,128,0.43113139271736145,0.4618852734565735,-0.5015076398849487,0.5001839995384216,0.26178115606307983,-7.794271945953369,-13.815510749816895,-4.652206897735596,2,1.0,7.694926296153426e-08,8,2.772588722239781
am,42,0,8,16,128,0.4107230305671692,0.4528226852416992,-0.5037110447883606,0.4811376929283142,0.27401891350746155,0.7630264759063721,-0.1994398534297943,1.5509917736053467,0,2.143559455871582,0.7621182203292847,8,2.772588722239781
am_over_m,42,0,8,16,128,0.425573468208313,0.4628118574619293,-0.5495156645774841,0.5292692184448242,0.2568446695804596,0.7630264759063721,-0.1994398534297943,1.5509917736053467,0,2.143559455871582,0.7621182203292847,8,2.772588722239781
beta_off,42,0,16,16,128,0.41405606269836426,0.47713959217071533,-0.3980299234390259,0.3917846381664276,0.1741178184747696,0.0,0.0,0.0,0,nan,nan,16,2.0794415416798357
legacy,42,0,16,16,128,0.6058918833732605,0.6723623275756836,-0.6516635417938232,0.649661123752594,0.20258000493049622,1.599939227104187,0.5130049586296082,2.9758636951446533,0,1.0,7.694926296153426e-08,16,2.0794415416798357
legacy_fixed_solver,42,0,16,16,128,1.1174097061157227,1.1863917112350464,-0.5440859198570251,0.5440859198570251,0.3634103536605835,-8.550206184387207,-13.815510749816895,-4.555139541625977,5,1.0,7.694926296153426e-08,16,2.0794415416798357
shift,42,0,16,16,128,0.4211890995502472,0.4871167540550232,-0.34113553166389465,0.33314454555511475,0.17963871359825134,-9.965689659118652,-13.815510749816895,-3.3597359657287598,9,1.0,7.694926296153426e-08,16,2.0794415416798357
am,42,0,16,16,128,0.47880882024765015,0.4986339509487152,-0.46921294927597046,0.4626643657684326,0.26111865043640137,-2.1718790531158447,-13.815510749816895,2.0117318630218506,3,2.143559455871582,0.7621182203292847,16,2.0794415416798357
am_over_m,42,0,16,16,128,0.40693730115890503,0.4792603850364685,-0.42481979727745056,0.42080825567245483,0.18098795413970947,-2.1718790531158447,-13.815510749816895,2.0117318630218506,3,2.143559455871582,0.7621182203292847,16,2.0794415416798357
beta_off,42,1,8,16,128,0.638394296169281,0.712253987789154,-0.5953885912895203,0.584341824054718,0.2799590528011322,0.0,0.0,0.0,0,nan,nan,8,2.772588722239781
legacy,42,1,8,16,128,0.7388960123062134,0.7914150357246399,-0.6753293871879578,0.6751302480697632,0.2916404902935028,2.009960412979126,1.2173352241516113,2.836750030517578,0,1.0,6.155941179031288e-08,8,2.772588722239781
legacy_fixed_solver,42,1,8,16,128,1.3006722927093506,1.326754093170166,-0.7195811867713928,0.7124625444412231,0.47529682517051697,-9.623480796813965,-13.815510749816895,-4.79583215713501,4,1.0,6.155941179031288e-08,8,2.772588722239781
shift,42,1,8,16,128,0.6138507127761841,0.6914883255958557,-0.5781089067459106,0.5630367398262024,0.28391149640083313,-9.35067367553711,-13.815510749816895,-4.597314357757568,4,1.0,6.155941179031288e-08,8,2.772588722239781
am,42,1,8,16,128,0.6524351835250854,0.6701332926750183,-0.7177489995956421,0.7131792902946472,0.35569360852241516,0.5148573517799377,-1.2620766162872314,1.801511526107788,0,1.8717399835586548,0.690536618232727,8,2.772588722239781
am_over_m,42,1,8,16,128,0.6114039421081543,0.7020665407180786,-0.5765501856803894,0.5710960626602173,0.28023475408554077,0.5148573517799377,-1.2620766162872314,1.801511526107788,0,1.8717399835586548,0.690536618232727,8,2.772588722239781
beta_off,42,1,16,16,128,0.616864025592804,0.6679842472076416,-0.415384441614151,0.4009210467338562,0.16434302926063538,0.0,0.0,0.0,0,nan,nan,16,2.0794415416798357
legacy,42,1,16,16,128,0.8496847152709961,0.9124884605407715,-0.630990207195282,0.5971376299858093,0.1998116374015808,1.5706974267959595,0.7050188183784485,2.8367502689361572,0,1.0,6.155941179031288e-08,16,2.0794415416798357
legacy_fixed_solver,42,1,16,16,128,1.4315874576568604,1.450762391090393,-0.6859618425369263,0.682248592376709,0.44577550888061523,-9.714487075805664,-13.815510749816895,-4.635415554046631,8,1.0,6.155941179031288e-08,16,2.0794415416798357
shift,42,1,16,16,128,0.5916721820831299,0.671596348285675,-0.4269965887069702,0.4150141477584839,0.16922356188297272,-9.24641227722168,-13.815510749816895,-4.219879627227783,7,1.0,6.155941179031288e-08,16,2.0794415416798357
am,42,1,16,16,128,0.6759540438652039,0.6973410844802856,-0.5230255126953125,0.5147091746330261,0.23507307469844818,-0.4243849515914917,-13.815510749816895,1.453701376914978,1,1.8717399835586548,0.690536618232727,16,2.0794415416798357
am_over_m,42,1,16,16,128,0.5956878662109375,0.6614447832107544,-0.4164910912513733,0.406108558177948,0.16856928169727325,-0.4243849515914917,-13.815510749816895,1.453701376914978,1,1.8717399835586548,0.690536618232727,16,2.0794415416798357
beta_off,43,0,8,16,128,0.53497713804245,0.583354651927948,-0.6194466948509216,0.6010891199111938,0.28670597076416016,0.0,0.0,0.0,0,nan,nan,8,2.772588722239781
legacy,43,0,8,16,128,0.9811260104179382,1.0408567190170288,-0.7111803889274597,0.7098896503448486,0.3078669309616089,2.2071597576141357,1.5322037935256958,3.499176025390625,0,1.0,9.10475961291013e-08,8,2.772588722239781
legacy_fixed_solver,43,0,8,16,128,1.385016918182373,1.3512935638427734,-0.6343820095062256,0.623115599155426,0.4003696143627167,-7.857551574707031,-13.815510749816895,-4.80995512008667,2,1.0,9.10475961291013e-08,8,2.772588722239781
shift,43,0,8,16,128,0.54529869556427,0.5690582394599915,-0.5397911071777344,0.5265786647796631,0.29056376218795776,-8.483169555664062,-13.815510749816895,-4.390209197998047,3,1.0,9.10475961291013e-08,8,2.772588722239781
am,43,0,8,16,128,0.5042517185211182,0.5544328689575195,-0.48475635051727295,0.4791772961616516,0.2998981475830078,0.818351149559021,-0.2959701418876648,1.6183942556381226,0,1.4985812902450562,0.506688117980957,8,2.772588722239781
am_over_m,43,0,8,16,128,0.5566491484642029,0.5854716300964355,-0.6155343055725098,0.6108649969100952,0.28675153851509094,0.818351149559021,-0.2959701418876648,1.6183942556381226,0,1.4985812902450562,0.506688117980957,8,2.772588722239781
beta_off,43,0,16,16,128,0.4176703691482544,0.5016509890556335,-0.4225238859653473,0.41765815019607544,0.17263327538967133,0.0,0.0,0.0,0,nan,nan,16,2.0794415416798357
legacy,43,0,16,16,128,1.155550479888916,1.1407467126846313,-0.6903749704360962,0.6821056604385376,0.24159257113933563,1.6758942604064941,1.010532259941101,3.499176263809204,0,1.0,9.10475961291013e-08,16,2.0794415416798357
legacy_fixed_solver,43,0,16,16,128,1.9350017309188843,1.8899353742599487,-0.5918612480163574,0.5810440182685852,0.3610684275627136,-9.300678253173828,-13.815510749816895,-4.431769847869873,7,1.0,9.10475961291013e-08,16,2.0794415416798357
shift,43,0,16,16,128,0.3725396692752838,0.47906556725502014,-0.34161004424095154,0.3064432740211487,0.17965471744537354,-10.34290599822998,-13.815510749816895,-3.5645225048065186,10,1.0,9.10475961291013e-08,16,2.0794415416798357
am,43,0,16,16,128,0.40047451853752136,0.5166569948196411,-0.37397274374961853,0.36031705141067505,0.2172558754682541,-0.39205965399742126,-13.815510749816895,1.6803102493286133,1,1.4985812902450562,0.506688117980957,16,2.0794415416798357
am_over_m,43,0,16,16,128,0.3863716125488281,0.4726555049419403,-0.4241749346256256,0.41397154331207275,0.17466500401496887,-0.39205965399742126,-13.815510749816895,1.6803102493286133,1,1.4985812902450562,0.506688117980957,16,2.0794415416798357
beta_off,43,1,8,16,128,0.650138258934021,0.6766681671142578,-0.6628454923629761,0.6573615670204163,0.3221532106399536,0.0,0.0,0.0,0,nan,nan,8,2.772588722239781
legacy,43,1,8,16,128,0.6425710320472717,0.676766037940979,-0.6573652029037476,0.6534876227378845,0.3234565854072571,1.51320219039917,1.3116759061813354,1.810668706893921,0,1.0,7.380714350802009e-08,8,2.772588722239781
legacy_fixed_solver,43,1,8,16,128,0.792748212814331,0.7895926833152771,-0.7535619139671326,0.7396082878112793,0.4292680025100708,-7.689484119415283,-13.815510749816895,-4.964483737945557,2,1.0,7.380714350802009e-08,8,2.772588722239781
shift,43,1,8,16,128,0.6488906145095825,0.6762077808380127,-0.6488520503044128,0.6399272680282593,0.3228464424610138,-6.803589344024658,-13.815510749816895,-4.879574298858643,1,1.0,7.380714350802009e-08,8,2.772588722239781
am,43,1,8,16,128,0.6390876173973083,0.6663753390312195,-0.7302016615867615,0.7287525534629822,0.3725055754184723,0.632145345211029,-0.7617492079734802,1.8233277797698975,0,4.569770336151123,0.9103192090988159,8,2.772588722239781
am_over_m,43,1,8,16,128,0.6481316089630127,0.6747452616691589,-0.6536546945571899,0.639800488948822,0.3224366307258606,0.632145345211029,-0.7617492079734802,1.8233277797698975,0,4.569770336151123,0.9103192090988159,8,2.772588722239781
beta_off,43,1,16,16,128,0.6660447120666504,0.7174345850944519,-0.5373846292495728,0.5270061492919922,0.2456006407737732,0.0,0.0,0.0,0,nan,nan,16,2.0794415416798357
legacy,43,1,16,16,128,0.687593400478363,0.704218327999115,-0.5488526225090027,0.5437397360801697,0.24863779544830322,1.186355471611023,0.5024840831756592,1.8106683492660522,0,1.0,7.380714350802009e-08,16,2.0794415416798357
legacy_fixed_solver,43,1,16,16,128,1.805678129196167,1.8632704019546509,-0.7366980314254761,0.7299409508705139,0.4147288203239441,-7.889954090118408,-13.815510749816895,-3.962925672531128,4,1.0,7.380714350802009e-08,16,2.0794415416798357
shift,43,1,16,16,128,0.6245987415313721,0.7248579263687134,-0.49011677503585815,0.4889701008796692,0.24969877302646637,-8.660527229309082,-13.815510749816895,-3.6198947429656982,6,1.0,7.380714350802009e-08,16,2.0794415416798357
am,43,1,16,16,128,0.746880054473877,0.789984405040741,-0.6373693943023682,0.6195828914642334,0.35072389245033264,-1.1818280220031738,-13.815510749816895,2.2748172283172607,2,4.569770336151123,0.9103192090988159,16,2.0794415416798357
am_over_m,43,1,16,16,128,0.6496021151542664,0.7274278402328491,-0.5462821125984192,0.5348676443099976,0.2494630515575409,-1.1818280220031738,-13.815510749816895,2.2748172283172607,2,4.569770336151123,0.9103192090988159,16,2.0794415416798357
