protocol,n_fit_queries,n_eval_queries,beta_mode,focus_strength,budget,dest,dcc_mean_rel_err,shared_mean_rel_err,delta_shared_minus_dcc
heldout,48,48,full,0.0,16,0,0.8134699463844299,0.7981135845184326,-0.015356361865997314
heldout,48,48,full,0.0,16,1,0.8139503598213196,0.7939090728759766,-0.020041286945343018
heldout,48,48,full,0.0,16,2,0.8495137095451355,0.8165428638458252,-0.0329708456993103
heldout,48,48,full,0.0,16,3,0.8229641318321228,0.8305404782295227,0.007576346397399902
heldout,48,48,full,0.0,32,0,0.8608906269073486,0.8254680037498474,-0.03542262315750122
heldout,48,48,full,0.0,32,1,0.8499393463134766,0.8295969367027283,-0.02034240961074829
heldout,48,48,full,0.0,32,2,0.9791075587272644,0.8825650215148926,-0.09654253721237183
heldout,48,48,full,0.0,32,3,0.821235716342926,0.8708122372627258,0.049576520919799805
heldout,48,48,full,0.0,64,0,0.8014436364173889,0.9022006988525391,0.10075706243515015
heldout,48,48,full,0.0,64,1,0.812265157699585,0.8849024176597595,0.07263725996017456
heldout,48,48,full,0.0,64,2,0.7874107360839844,0.9409090876579285,0.1534983515739441
heldout,48,48,full,0.0,64,3,0.8793702125549316,0.9062183499336243,0.026848137378692627
heldout,48,48,full,0.0,128,0,0.6565424203872681,0.6564214825630188,-0.00012093782424926758
heldout,48,48,full,0.0,128,1,0.6459713578224182,0.6336723566055298,-0.012299001216888428
heldout,48,48,full,0.0,128,2,0.665148913860321,0.6980382800102234,0.032889366149902344
heldout,48,48,full,0.0,128,3,0.6850129961967468,0.685053825378418,4.082918167114258e-05
heldout,48,48,full,2.0,16,0,0.752324104309082,0.8295276761054993,0.07720357179641724
heldout,48,48,full,2.0,16,1,0.7865539193153381,0.8107544779777527,0.02420055866241455
heldout,48,48,full,2.0,16,2,0.8329069018363953,0.8311557173728943,-0.0017511844635009766
heldout,48,48,full,2.0,16,3,0.8094150424003601,0.8789370059967041,0.069521963596344
heldout,48,48,full,2.0,32,0,0.8116355538368225,0.8921515941619873,0.0805160403251648
heldout,48,48,full,2.0,32,1,0.8680323958396912,0.8280351758003235,-0.039997220039367676
heldout,48,48,full,2.0,32,2,0.7939548492431641,0.9553084969520569,0.16135364770889282
heldout,48,48,full,2.0,32,3,0.8825724124908447,0.916558027267456,0.03398561477661133
heldout,48,48,full,2.0,64,0,0.8224484920501709,0.7759356498718262,-0.04651284217834473
heldout,48,48,full,2.0,64,1,0.7352924942970276,0.7810894846916199,0.045796990394592285
heldout,48,48,full,2.0,64,2,0.7226588129997253,0.8058000206947327,0.08314120769500732
heldout,48,48,full,2.0,64,3,0.8072893619537354,0.8678857684135437,0.06059640645980835
heldout,48,48,full,2.0,128,0,0.6241286396980286,0.6719728112220764,0.04784417152404785
heldout,48,48,full,2.0,128,1,0.6837083697319031,0.6678337454795837,-0.015874624252319336
heldout,48,48,full,2.0,128,2,0.6210584044456482,0.6695391535758972,0.04848074913024902
heldout,48,48,full,2.0,128,3,0.6607246398925781,0.6995638012886047,0.03883916139602661
heldout,48,48,full,4.0,16,0,0.7226693630218506,0.9749619364738464,0.25229257345199585
heldout,48,48,full,4.0,16,1,0.7389487624168396,0.9055013656616211,0.1665526032447815
heldout,48,48,full,4.0,16,2,0.6325473785400391,0.7645564675331116,0.1320090889930725
heldout,48,48,full,4.0,16,3,0.7854644656181335,0.9031190872192383,0.11765462160110474
heldout,48,48,full,4.0,32,0,0.7490515112876892,1.0694446563720703,0.3203931450843811
heldout,48,48,full,4.0,32,1,0.7217546105384827,0.8109995722770691,0.08924496173858643
heldout,48,48,full,4.0,32,2,0.6615488529205322,0.837033212184906,0.17548435926437378
heldout,48,48,full,4.0,32,3,0.8077092170715332,0.9083623886108398,0.10065317153930664
heldout,48,48,full,4.0,64,0,0.6279670596122742,0.8569777607917786,0.2290107011795044
heldout,48,48,full,4.0,64,1,0.690554141998291,0.8139286637306213,0.12337452173233032
heldout,48,48,full,4.0,64,2,0.598263144493103,0.7891526818275452,0.19088953733444214
heldout,48,48,full,4.0,64,3,0.7676015496253967,0.9240781664848328,0.15647661685943604
heldout,48,48,full,4.0,128,0,0.5366188287734985,0.7311524748802185,0.19453364610671997
heldout,48,48,full,4.0,128,1,0.5745165348052979,0.6389205455780029,0.06440401077270508
heldout,48,48,full,4.0,128,2,0.5067771077156067,0.6248510479927063,0.11807394027709961
heldout,48,48,full,4.0,128,3,0.6551520228385925,0.6819057464599609,0.026753723621368408
heldout,48,48,full,8.0,16,0,0.43222737312316895,0.6712018847465515,0.23897451162338257
heldout,48,48,full,8.0,16,1,0.43227532505989075,0.6771132349967957,0.2448379099369049
heldout,48,48,full,8.0,16,2,0.3170750141143799,0.8339470028877258,0.516871988773346
heldout,48,48,full,8.0,16,3,0.5772128105163574,0.7478925585746765,0.1706797480583191
heldout,48,48,full,8.0,32,0,0.36744651198387146,0.6803560853004456,0.3129095733165741
heldout,48,48,full,8.0,32,1,0.3886859118938446,0.7184352278709412,0.32974931597709656
heldout,48,48,full,8.0,32,2,0.2586437165737152,1.0225093364715576,0.7638656198978424
heldout,48,48,full,8.0,32,3,0.5370376110076904,0.8145504593849182,0.2775128483772278
heldout,48,48,full,8.0,64,0,0.2940661907196045,0.5698204636573792,0.27575427293777466
heldout,48,48,full,8.0,64,1,0.33354878425598145,0.6046145558357239,0.27106577157974243
heldout,48,48,full,8.0,64,2,0.22133769094944,0.7780728936195374,0.5567352026700974
heldout,48,48,full,8.0,64,3,0.4398089349269867,0.756805419921875,0.3169964849948883
heldout,48,48,full,8.0,128,0,0.2766479551792145,0.5071536898612976,0.23050573468208313
heldout,48,48,full,8.0,128,1,0.30100730061531067,0.514082133769989,0.21307483315467834
heldout,48,48,full,8.0,128,2,0.21592630445957184,0.6780677437782288,0.4621414393186569
heldout,48,48,full,8.0,128,3,0.40966084599494934,0.5987867712974548,0.1891259253025055
heldout,48,48,full,16.0,16,0,0.09058034420013428,0.3603219985961914,0.26974165439605713
heldout,48,48,full,16.0,16,1,0.10597733408212662,0.3673354685306549,0.2613581344485283
heldout,48,48,full,16.0,16,2,0.053612980991601944,0.9498230814933777,0.8962101005017757
heldout,48,48,full,16.0,16,3,0.1792273372411728,0.33705994486808777,0.15783260762691498
heldout,48,48,full,16.0,32,0,0.06541245430707932,0.23531769216060638,0.16990523785352707
heldout,48,48,full,16.0,32,1,0.06697437912225723,0.2476687878370285,0.18069440871477127
heldout,48,48,full,16.0,32,2,0.03963790833950043,0.7224529385566711,0.6828150302171707
