protocol,n_fit_queries,n_eval_queries,beta_mode,focus_strength,budget,dest,dcc_mean_rel_err,shared_mean_rel_err,delta_shared_minus_dcc
in-sample,48,48,full,0.0,16,0,0.6420906186103821,0.7729690074920654,0.13087838888168335
in-sample,48,48,full,0.0,16,1,0.5838951468467712,0.7353920340538025,0.15149688720703125
in-sample,48,48,full,0.0,16,2,0.6260412335395813,0.7850498557090759,0.15900862216949463
in-sample,48,48,full,0.0,16,3,0.6146637201309204,0.7672505378723145,0.15258681774139404
in-sample,48,48,full,0.0,32,0,0.45452427864074707,0.7227003574371338,0.2681760787963867
in-sample,48,48,full,0.0,32,1,0.47755303978919983,0.7374776005744934,0.2599245607852936
in-sample,48,48,full,0.0,32,2,0.5499044060707092,0.7610841393470764,0.2111797332763672
in-sample,48,48,full,0.0,32,3,0.4700428247451782,0.7405306696891785,0.27048784494400024
in-sample,48,48,full,0.0,64,0,0.3041737973690033,0.6804983019828796,0.37632450461387634
in-sample,48,48,full,0.0,64,1,0.32061320543289185,0.683591365814209,0.36297816038131714
in-sample,48,48,full,0.0,64,2,0.3136794865131378,0.7259250283241272,0.4122455418109894
in-sample,48,48,full,0.0,64,3,0.3588012754917145,0.6906623244285583,0.33186104893684387
in-sample,48,48,full,0.0,128,0,0.2586686313152313,0.5380319952964783,0.27936336398124695
in-sample,48,48,full,0.0,128,1,0.258912593126297,0.5479730367660522,0.28906044363975525
in-sample,48,48,full,0.0,128,2,0.27394697070121765,0.573285698890686,0.2993387281894684
in-sample,48,48,full,0.0,128,3,0.2817770540714264,0.5495847463607788,0.2678076922893524
in-sample,48,48,full,2.0,16,0,0.6060104966163635,0.7339336276054382,0.1279231309890747
in-sample,48,48,full,2.0,16,1,0.5352775454521179,0.7226331830024719,0.187355637550354
in-sample,48,48,full,2.0,16,2,0.5557811856269836,0.849520206451416,0.2937390208244324
in-sample,48,48,full,2.0,16,3,0.5737829208374023,0.7822327613830566,0.2084498405456543
in-sample,48,48,full,2.0,32,0,0.49882814288139343,0.7717318534851074,0.272903710603714
in-sample,48,48,full,2.0,32,1,0.41693592071533203,0.8251814246177673,0.4082455039024353
in-sample,48,48,full,2.0,32,2,0.41098734736442566,0.9117334485054016,0.500746101140976
in-sample,48,48,full,2.0,32,3,0.43584540486335754,0.8015556335449219,0.36571022868156433
in-sample,48,48,full,2.0,64,0,0.3459213972091675,0.6754672527313232,0.32954585552215576
in-sample,48,48,full,2.0,64,1,0.2683890163898468,0.714113712310791,0.4457246959209442
in-sample,48,48,full,2.0,64,2,0.38133952021598816,0.7756560444831848,0.39431652426719666
in-sample,48,48,full,2.0,64,3,0.304222047328949,0.743433952331543,0.439211905002594
in-sample,48,48,full,2.0,128,0,0.26799318194389343,0.5281108617782593,0.26011767983436584
in-sample,48,48,full,2.0,128,1,0.2413078397512436,0.5387611985206604,0.2974533587694168
in-sample,48,48,full,2.0,128,2,0.2565709054470062,0.6072449684143066,0.3506740629673004
in-sample,48,48,full,2.0,128,3,0.24631494283676147,0.5799902081489563,0.3336752653121948
in-sample,48,48,full,4.0,16,0,0.5478304028511047,0.8152458071708679,0.2674154043197632
in-sample,48,48,full,4.0,16,1,0.46953073143959045,0.764219343662262,0.2946886122226715
in-sample,48,48,full,4.0,16,2,0.4454788267612457,0.7306999564170837,0.285221129655838
in-sample,48,48,full,4.0,16,3,0.5121971964836121,0.7389577031135559,0.22676050662994385
in-sample,48,48,full,4.0,32,0,0.48219168186187744,0.8269736170768738,0.34478193521499634
in-sample,48,48,full,4.0,32,1,0.35539281368255615,0.6924686431884766,0.3370758295059204
in-sample,48,48,full,4.0,32,2,0.3464154303073883,0.7092882990837097,0.3628728687763214
in-sample,48,48,full,4.0,32,3,0.43158701062202454,0.7037510275840759,0.2721640169620514
in-sample,48,48,full,4.0,64,0,0.2791005074977875,0.6518106460571289,0.37271013855934143
in-sample,48,48,full,4.0,64,1,0.26613202691078186,0.6360450983047485,0.3699130713939667
in-sample,48,48,full,4.0,64,2,0.25916728377342224,0.6499624848365784,0.39079520106315613
in-sample,48,48,full,4.0,64,3,0.27182480692863464,0.616942822933197,0.3451180160045624
in-sample,48,48,full,4.0,128,0,0.234614297747612,0.5698893666267395,0.3352750688791275
in-sample,48,48,full,4.0,128,1,0.2044692039489746,0.5543485283851624,0.34987932443618774
in-sample,48,48,full,4.0,128,2,0.19509901106357574,0.6039753556251526,0.40887634456157684
in-sample,48,48,full,4.0,128,3,0.22139005362987518,0.5121273398399353,0.2907372862100601
in-sample,48,48,full,8.0,16,0,0.33323246240615845,0.5770012736320496,0.2437688112258911
