dtype,num_blocks,num_permutations,cumulative_max_rel_err
float32,2,1,2.7190705509383406e-07
float32,2,5,2.7190705509383406e-07
float32,2,25,2.7190705509383406e-07
float32,2,100,2.7190705509383406e-07
float32,8,1,2.8227438519934367e-07
float32,8,5,3.15360296099243e-07
float32,8,25,3.4510995305936376e-07
float32,8,100,3.593983137761825e-07
float32,32,1,1.5013708321021113e-07
float32,32,5,1.982423043500603e-07
float32,32,25,4.354593841071619e-07
float32,32,100,4.354593841071619e-07
float64,2,1,6.403573269425388e-16
float64,2,5,6.403573269425388e-16
float64,2,25,6.403573269425388e-16
float64,2,100,6.403573269425388e-16
float64,8,1,3.480772056291262e-16
float64,8,5,5.92810982263156e-16
float64,8,25,7.072098052207485e-16
float64,8,100,7.38376953870476e-16
float64,32,1,3.5104986800913027e-16
float64,32,5,4.520011677765902e-16
float64,32,25,4.520011677765902e-16
float64,32,100,4.84135705472715e-16
