beta_mode,focus_strength,budget,dest,dcc_mean_rel_err,shared_mean_rel_err,delta_shared_minus_dcc
full,0.0,16,0,0.4948321580886841,0.7633933424949646,0.2685611844062805
full,0.0,16,1,0.5706119537353516,0.7817707061767578,0.21115875244140625
full,0.0,16,2,0.46287116408348083,0.9356605410575867,0.47278937697410583
full,0.0,64,0,0.5469431281089783,0.6219715476036072,0.0750284194946289
full,0.0,64,1,0.5173231363296509,0.7003403306007385,0.18301719427108765
full,0.0,64,2,0.54263836145401,0.69834965467453,0.15571129322052002
full,8.0,16,0,0.7882028222084045,0.7120685577392578,-0.07613426446914673
full,8.0,16,1,0.7370383143424988,0.5467731952667236,-0.19026511907577515
full,8.0,16,2,0.6474912762641907,0.8250131607055664,0.17752188444137573
full,8.0,64,0,0.8001559376716614,0.7206499576568604,-0.07950598001480103
full,8.0,64,1,0.9118859171867371,0.8404808640480042,-0.07140505313873291
full,8.0,64,2,0.6801751255989075,0.7784586548805237,0.09828352928161621
over_m,0.0,16,0,0.4042583405971527,0.7365567684173584,0.3322984278202057
over_m,0.0,16,1,0.48753848671913147,0.766111433506012,0.2785729467868805
over_m,0.0,16,2,0.3947061598300934,0.936126172542572,0.5414200127124786
over_m,0.0,64,0,0.23701262474060059,0.4363480508327484,0.19933542609214783
over_m,0.0,64,1,0.2474999874830246,0.5067780613899231,0.2592780739068985
over_m,0.0,64,2,0.2333713173866272,0.5508080720901489,0.31743675470352173
over_m,8.0,16,0,0.1614878624677658,0.42416834831237793,0.2626804858446121
over_m,8.0,16,1,0.17518095672130585,0.4024368226528168,0.22725586593151093
over_m,8.0,16,2,0.15196101367473602,0.7643037438392639,0.6123427301645279
over_m,8.0,64,0,0.11525464057922363,0.3111664354801178,0.19591179490089417
over_m,8.0,64,1,0.11434785276651382,0.3562932312488556,0.24194537848234177
over_m,8.0,64,2,0.12448909133672714,0.5130442976951599,0.38855520635843277
none,0.0,16,0,0.40298211574554443,0.7360147833824158,0.33303266763687134
none,0.0,16,1,0.4875517785549164,0.7661442756652832,0.2785924971103668
none,0.0,16,2,0.39614105224609375,0.9369013905525208,0.540760338306427
none,0.0,64,0,0.26339778304100037,0.4453810453414917,0.18198326230049133
none,0.0,64,1,0.2795954942703247,0.511261522769928,0.23166602849960327
none,0.0,64,2,0.27231231331825256,0.5565919280052185,0.28427961468696594
none,8.0,16,0,0.17102785408496857,0.4226585328578949,0.25163067877292633
none,8.0,16,1,0.18358822166919708,0.403822660446167,0.2202344387769699
none,8.0,16,2,0.16154895722866058,0.7669556140899658,0.6054066568613052
none,8.0,64,0,0.23781180381774902,0.397877961397171,0.160066157579422
none,8.0,64,1,0.3045864999294281,0.40361955761909485,0.09903305768966675
none,8.0,64,2,0.23680336773395538,0.5520054697990417,0.31520210206508636
