dtype,device,K,tree_shape,n_perms,order_error_median,order_error_max,order_error_ci,total_error,unit_roundoff,order_error_at_noise_floor
bfloat16,cpu,8,left_deep,8,0.006005154229819112,0.007755309029919351,"[0.005578732986094031, 0.00702196969970866]",0.005285450608841371,0.00390625,True
bfloat16,cpu,8,balanced,8,0.0050111437872266285,0.005827004787764617,"[0.004645323920740695, 0.005519444911040287]",0.004886905139062412,0.00390625,True
bfloat16,cpu,8,random,8,0.0050518905029732835,0.006532222198000603,"[0.004045299692703299, 0.005814647056921891]",0.003454269641175244,0.00390625,True
bfloat16,cpu,16,left_deep,8,0.00840901102937402,0.014253476088569965,"[0.005505815132499135, 0.012305346435854743]",0.010047748174680887,0.00390625,True
bfloat16,cpu,16,balanced,8,0.00524563988519023,0.008104489186245074,"[0.0048747965037463595, 0.006088561736302036]",0.004440709065015426,0.00390625,True
bfloat16,cpu,16,random,8,0.005584510150474283,0.007714945823683333,"[0.003994432817542565, 0.007244570778398427]",0.003390840093866635,0.00390625,True
bfloat16,cpu,32,left_deep,8,0.011320314534324293,0.013587010517254972,"[0.008646570524985584, 0.01274979788252816]",0.007887649735979212,0.00390625,True
bfloat16,cpu,32,balanced,8,0.009487143901317408,0.012181872662311187,"[0.006124040283090833, 0.011753177334342443]",0.007655703054782041,0.00390625,True
bfloat16,cpu,32,random,8,0.008620913674039084,0.01079910264125721,"[0.0067553263735819925, 0.009845964747155267]",0.004898730026704254,0.00390625,True
float16,cpu,8,left_deep,8,0.0009037456690085956,0.0011512588724995232,"[0.0007132972911520894, 0.001144068533006807]",0.0006846901406985342,0.0009765625,True
float16,cpu,8,balanced,8,0.0008810526027247698,0.0011638974794398516,"[0.000779335546598696, 0.0010216565100120774]",0.000631721832151719,0.0009765625,True
float16,cpu,8,random,8,0.0009097221143603603,0.0011324215034025397,"[0.0006198562208875611, 0.0010628408248903143]",0.000823491074841129,0.0009765625,True
float16,cpu,16,left_deep,8,0.0008433775307547039,0.0021582694900011035,"[0.0005175544215369792, 0.0014307945145403554]",0.000571052618825061,0.0009765625,True
float16,cpu,16,balanced,8,0.0006898044702449771,0.0014807522697701011,"[0.0006645369003938095, 0.0007429353930847606]",0.0005084218024123813,0.0009765625,True
float16,cpu,16,random,8,0.0008771457214557406,0.0014994114655014572,"[0.0006815589077289766, 0.0009825684872687213]",0.0011285044771129652,0.0009765625,True
float16,cpu,32,left_deep,8,0.0011833382869141534,0.001543452532361666,"[0.0011001805319567088, 0.0014001986907755128]",0.0008008022331149195,0.0009765625,True
float16,cpu,32,balanced,8,0.0007027519701669409,0.0010374033017469199,"[0.0006733847615569442, 0.000732540267710045]",0.0006571321084783453,0.0009765625,True
float16,cpu,32,random,8,0.0011542532765885473,0.0013307253771096188,"[0.0006951031280158778, 0.001311635438136111]",0.0008359173408530672,0.0009765625,True
